Band Value,Blue,Green,Red,NIR
0.03906,,,1,
0.04004,,,,
0.04102,,,,
0.04199,,,4,
0.04297,,,7,
0.04395,,,11,
0.04492,,,13,
0.04590,,,19,
0.04688,,,13,
0.04785,,,16,
0.04883,,,19,
0.04980,,,30,
0.05078,,,20,
0.05176,,,22,
0.05273,,,32,
0.05371,,,15,
0.05469,,,24,
0.05566,,,11,1
0.05664,,,13,
0.05762,,,17,
0.05859,,,14,
0.05957,,,15,
0.06055,,,17,1
0.06152,,,6,
0.06250,,,10,
0.06348,,,8,
0.06445,,1,14,2
0.06543,,6,11,1
0.06641,,10,6,
0.06738,,8,5,
0.06836,,16,5,
0.06934,,11,8,1
0.07031,,21,11,1
0.07129,,17,10,1
0.07227,,35,3,2
0.07324,,29,11,
0.07422,,32,7,
0.07520,,32,8,
0.07617,,29,9,
0.07715,,19,7,
0.07813,,15,9,2
0.07910,,12,7,2
0.08008,,15,5,3
0.08105,,15,1,1
0.08203,,11,13,1
0.08301,,7,6,3
0.08350,1,,,
0.08398,,14,10,4
0.08447,,,,
0.08496,1,9,13.945,7
0.08545,8,,,
0.08594,6,13,12,7
0.08643,10,,,
0.08691,10,13,14,4
0.08740,14,,,
0.08789,10,10,4,6
0.08838,16,,,
0.08887,9,6,11,9
0.08936,14,,,
0.08984,19,11,11,4
0.09033,21,,,
0.09082,19,12,11,6
0.09131,13,,,
0.09180,23,15,9,8
0.09229,21,,,
0.09277,17,4,12,7
0.09326,17,,,
0.09375,13,8,11,8
0.09424,18,,,
0.09473,8,7,9,9
0.09521,9,,,
0.09570,11,12,13,10
0.09619,8,,,
0.09668,11,8,14,8
0.09717,8,,,
0.09766,8,6,13,7
0.09814,9,,,
0.09863,9,21,20,7
0.09912,7,,,
0.09961,10,11,8,6
0.10010,7,,,
0.10059,6,11,20,11
0.10107,8,,,
0.10156,8,9,20,9
0.10205,7,,,
0.10254,5,13,20,11
0.10303,7,,,
0.10352,8,13.945,21,5
0.10400,4,,,
0.10449,6,22,14,12
0.10498,6,,,
0.10547,3,15,18,10
0.10596,5,,,
0.10645,6,13,10,10
0.10693,14,,,
0.10742,8,17,20,10
0.10791,4,,,
0.10840,10,29,22,12
0.10889,6,,,
0.10938,5,33,15,10
0.10986,9,,,
0.11035,5,19,18,9
0.11084,12,,,
0.11133,10,24.125,18,7
0.11182,12,,,
0.11230,5,25,21,15
0.11279,8,,,
0.11328,9,22,16.125,14
0.11377,9,,,
0.11426,11,21,18,15
0.11475,13,,,
0.11523,16,15,28,18
0.11572,10,,,
0.11621,10,13,13,16
0.11670,12,,,
0.11719,19,23,26,8
0.11768,25,,,
0.11816,18.945,26,18,11
0.11865,13,,,
0.11914,16,15,23,15
0.11963,15,,,
0.12012,14,23,19.635,11
0.12061,9,,,
0.12109,21,28,17,13
0.12158,20,,,
0.12207,14,16.635,21,9
0.12256,12,,,
0.12305,12,21,15,14
0.12354,17,,,
0.12402,15,22,11,15
0.12451,10,,,
0.12500,9,21,22,12
0.12549,11.125,,,
0.12598,11,12,15,11
0.12646,20,,,
0.12695,10,20,15,13
0.12744,13,,,
0.12793,19,20,14,18
0.12842,9,,,
0.12891,7,19,12,15
0.12939,7,,,
0.12988,21,19,16,18
0.13037,7,,,
0.13086,13,18,12,19
0.13135,8,,,
0.13184,18,20,14,11
0.13232,11,,,
0.13281,15,14,10,12
0.13330,11,,,
0.13379,10,11,14,13
0.13428,14,,,
0.13477,9.635,16,12,15
0.13525,10,,,
0.13574,17,19,16,20
0.13623,9,,,
0.13672,8,11,7,14
0.13721,9,,,
0.13770,4,19,11,15
0.13818,10,,,
0.13867,11,15,18,21
0.13916,4,,,
0.13965,7,11,11,8
0.14014,6,,,
0.14063,8,9,15,22
0.14111,4,,,
0.14160,2,9,4,23
0.14209,5,,,
0.14258,7,13,8,19
0.14307,11,,,
0.14355,8,17,9,23
0.14404,9,,,
0.14453,9,8,8,9
0.14502,6,,,
0.14551,2,13,6,11
0.14600,8,,,
0.14648,7,15,4,15
0.14697,8,,,
0.14746,5,10,11,10
0.14795,6,,,
0.14844,5,10,7,18
0.14893,7,,,
0.14941,3,6,5,18
0.14990,5,,,
0.15039,7,12,6,20
0.15088,4,,,
0.15137,9,11,7,18
0.15186,6,,,
0.15234,6,9,4,15
0.15283,6,,,
0.15332,4,5,1,17
0.15381,3,,,
0.15430,3,6,3,22
0.15479,2,,,
0.15527,5,13,8,14
0.15576,5,,,
0.15625,8,8,3,17
0.15674,1,,,
0.15723,4,10,3,15
0.15771,4,,,
0.15820,3,4,4,8
0.15869,4,,,
0.15918,3,8,3,20
0.15967,1,,,
0.16016,2,6,3,7
0.16064,1,,,
0.16113,2,2,3,10
0.16162,2,,,
0.16211,,2,3,20
0.16260,2,,,
0.16309,,9,2,11
0.16357,1,,,
0.16406,,2,1,18
0.16455,4,,,
0.16504,2,1,,16
0.16553,4,,,
0.16602,3,3,1,12
0.16650,1,,,
0.16699,,2,1,16
0.16748,1,,,
0.16797,1,1,,12
0.16846,,,,
0.16895,,1,1,10
0.16943,4,,,
0.16992,1,2,1,8
0.17041,1,,,
0.17090,2,1,,9
0.17139,2,,,
0.17188,,2,,17
0.17236,,,,
0.17285,,,,8
0.17334,,,,
0.17383,1,1,,12
0.17432,1,,,
0.17480,,2,,5
0.17529,1,,,
0.17578,1,,,12.635
0.17627,1,,,
0.17676,,,,11
0.17725,,,,
0.17773,1,2,,3.125
0.17822,,,,
0.17871,,2,,9
0.17920,,,,
0.17969,,3,,4
0.18018,1,,,
0.18066,,1,,7.945
0.18115,1,,,
0.18164,1,,,9
0.18213,,,,
0.18262,2,1,,13
0.18311,,,,
0.18359,2,,,10
0.18408,,,,
0.18457,,1,,13
0.18506,1,,,
0.18555,,1,,12
0.18604,,,,
0.18652,,3,,6
0.18701,,,,
0.18750,,,,11
0.18799,,,,
0.18848,,1,,6
0.18896,,,,
0.18945,1,,,8
0.19043,,,,9
0.19141,,,,16
0.19238,,2,,14
0.19336,,,,11
0.19434,,,,7
0.19531,,,,8
0.19629,,,,8
0.19727,,,,7
0.19824,,,,8
0.19922,,,,6
0.20020,,,,3
0.20117,,,,3
0.20215,,,,6
0.20313,,,,7
0.20410,,,,3
0.20508,,,,6
0.20605,,,,6
0.20703,,,,5
0.20801,,,,3
0.20898,,,,2
0.20996,,,,5
0.21094,,,,11
0.21191,,,,5
0.21289,,,,5
0.21387,,,,5
0.21484,,,,2
0.21582,,,,4
0.21680,,,,2
0.21777,,,,4
0.21875,,,,4
0.21973,,,,1
0.22070,,,,1
0.22168,,,,2
0.22266,,,,1
0.22363,,,,3
0.22461,,,,
0.22559,,,,2
0.22656,,,,
0.22754,,,,1
0.22852,,,,
0.22949,,,,1
0.23047,,,,
0.23145,,,,
0.23242,,,,2
0.23340,,,,
0.23438,,,,
0.23535,,,,
0.23633,,,,
0.23730,,,,
0.23828,,,,
0.23926,,,,
0.24023,,,,
0.24121,,,,
0.24219,,,,
0.24316,,,,
0.24414,,,,1
0.24512,,,,1
