Band Value,Blue,Green,Red,NIR
0.01270,,,,2
0.01318,,,,25
0.01367,,,,81
0.01416,,,,278
0.01465,,,,280
0.01514,,,,364
0.01563,,,,515
0.01611,,,,641
0.01660,,,,570
0.01709,,,,630
0.01758,,,,494.851
0.01807,,,,342
0.01855,,,,292.408
0.01904,,,,243
0.01953,,,,152.165
0.02002,,,,88
0.02051,,,,55
0.02100,,,,45
0.02148,,,,35
0.02197,,,,40
0.02246,,,,28
0.02295,,,,42
0.02344,,,,36
0.02393,,,,25
0.02441,,,,22
0.02490,,,,15
0.02539,,,,22
0.02588,,,,19
0.02637,,,1,30
0.02686,,,,22
0.02734,,,121,12
0.02783,,,,20
0.02832,,,139,27
0.02881,,,,24
0.02930,,,224,19
0.02979,,,,14
0.03027,,,304,9
0.03076,,,,15
0.03125,,,343,22
0.03174,,,,15
0.03223,,,225,12
0.03271,,,,24.2
0.03320,,,124,18
0.03369,,,,14
0.03418,,,101,25
0.03467,,,,18
0.03516,,,71,10
0.03564,,,,12
0.03613,,,65,7
0.03662,,,,15
0.03711,,,60,4
0.03760,,,,14
0.03809,,,51,16
0.03857,,,,13
0.03906,,,68,17
0.03955,,,,10
0.04004,,,49,8
0.04053,,,,8
0.04102,,,46,6
0.04150,,,,8
0.04199,,,35,11
0.04248,,,,9
0.04297,,,47,12
0.04346,,,,13
0.04395,,,51,14
0.04443,,,,8
0.04492,,,59,13
0.04541,,,,12
0.04590,,,59,2
0.04639,,,,10
0.04688,,,54,8
0.04736,,,,5
0.04785,,,53,5
0.04834,,,,11
0.04883,,,71,8
0.04932,,,,9
0.04980,,,66,8
0.05029,,,,5
0.05078,,,84,8
0.05127,,,,8
0.05176,,,83,3
0.05225,,,,9
0.05273,,,76,5
0.05322,,,,7
0.05371,,,66,3
0.05420,,,,8
0.05469,,,81,4
0.05518,,,,11
0.05566,,,88,8
0.05615,,,,8
0.05664,,,95,5
0.05713,,,,5
0.05762,,,105.851,5
0.05811,,,,5
0.05859,,,105,3
0.05908,,,,7
0.05957,,,114,14
0.06006,,,,5
0.06055,,,109,8
0.06104,,,,8
0.06152,,,87.914,12
0.06201,,,,4
