Band Value,Blue,Green,Red,NIR
0.03711,,,1,
0.03809,,,3,
0.03906,,,11,
0.04004,,,25,
0.04102,,,71,
0.04199,,,72,
0.04297,,,73,
0.04395,,,70,
0.04492,,,69,
0.04590,,,58,
0.04688,,,45,
0.04785,,,27,
0.04883,,,32,
0.04980,,,17,
0.05078,,,10,
0.05176,,,17,
0.05273,,,14,
0.05371,,,15,
0.05469,,,8,
0.05566,,,3,
0.05664,,,11,
0.05762,,,12,
0.05859,,,10,
0.05957,,,7,
0.06055,,,8,
0.06152,,,6,
0.06250,,,8,
0.06348,,,1,
0.06445,,,3,
0.06543,,,7,
0.06592,,1,,
0.06641,,2,5,
0.06689,,1,,
0.06738,,2,4,
0.06787,,4,,
0.06836,,2,3,
0.06885,,12,,
0.06934,,9,5,
0.06982,,26,,
0.07031,,20,9,
0.07080,,24,,
0.07129,,30,6,
0.07178,,39,,
0.07227,,50,12,
0.07275,,46,,
0.07324,,44,7,
0.07373,,49,,
0.07422,,49,12,
0.07471,,31,,
0.07520,,52,9.078,
0.07568,,22,,
0.07617,,26,10,
0.07666,,16,,
0.07715,,9,7,
0.07764,,8,,
0.07813,,8,9,
0.07861,,8,,
0.07910,,4,9,
0.07959,,8,,
0.08008,,3,8,
0.08057,,4,,
0.08105,,4,8,
0.08154,,4,,
0.08203,,7,10,
0.08252,,3,,
0.08301,,6,5,
0.08350,1,4,,
0.08398,8,4,8.973,
0.08447,34,3,,
0.08496,39,5,9,
0.08545,73,10,,
0.08594,69,8,7,
0.08643,58,11,,
0.08691,46,5,8,
0.08740,31,2,,
0.08789,55,3,4,
0.08838,51,5,,
0.08887,32,3,6,
0.08936,31,1,,
0.08984,26,4,11,
0.09033,19,4,,
0.09082,12,5,6,
0.09131,12,10,,
0.09180,11,6.078,15,
0.09229,11,7,,
0.09277,15,4,8,
0.09326,4,2,,
0.09375,6,12,5,
0.09424,8,12,,
0.09473,9,10,11,
0.09521,7,8,,
0.09570,7,5,12,
0.09619,7,13,,
0.09668,6,6,7,
0.09717,5,8,,
0.09766,6,7,9,
0.09814,7,12,,
0.09863,5,8,14,
0.09912,5,7,,
0.09961,6,5,9,
0.10010,4,6.973,,
0.10059,7,7,13,
0.10107,9,15,,
0.10156,7,9,10,
0.10205,8,14,,
0.10254,12,7,14,
0.10303,7,8,,
0.10352,9,10,15,
0.10400,7,15,,
0.10449,11,13.561,11,
0.10498,13,12,,
0.10547,11,11,14.561,
0.10596,6,14,,
0.10645,12,10,12,
0.10693,10,12,,
0.10742,7.078,13,14,
0.10791,5,12,,
0.10840,6,13,18,
0.10889,12,19,,
0.10938,6,17,12,
0.10986,14,16,,
0.11035,11,14,15,
0.11084,14,16,,
0.11133,11,13,14,
0.11182,15,19,,
0.11230,14,22,5,
0.11279,14,14,,
0.11328,16,19,16,
0.11377,12,17,,
0.11426,14,6,8,
0.11475,17.973,13,,
0.11523,13,8,21,
