Band Value,Blue,Green,Red,NIR
0.0156,,,,0.141
0.0176,,,,
0.0195,,,,0.02
0.0215,,,,
0.0234,,,,
0.0254,,,,0.027
0.0273,,,,
0.0293,,,,0.031
0.0313,,,,0.031
0.0332,,,,0.071
0.0352,,,,
0.0371,,,,
0.0391,,,,
0.0410,,,,
0.0430,,,,
0.0449,,,,
0.0469,,,,0.047
0.0488,,,,
0.0508,,,,0.051
0.0527,,,,
0.0547,,,,
0.0566,,,,
0.0586,,,,
0.0605,,,,0.063
0.0625,,,,0.063
0.0645,,,,0.063
0.0664,,,,
0.0684,,,,0.071
0.0703,,,,
0.0723,,,,
0.0742,,,,0.075
0.0762,,,,0.078
0.0781,,,,0.078
0.0801,,,,
0.0820,,,,
0.0840,,,,
0.0859,,,,
0.0879,,,,
0.0898,,,,
0.0918,,,,0.188
0.0938,,,,
0.0957,,,,
0.0977,,,,0.098
0.0996,,,,
0.1016,,,,
0.1035,,,,
0.1055,,,,
0.1074,,,,
0.1094,,,0.22,
0.1113,,,0.11,
0.1133,,,0.227,
0.1152,,,,0.118
0.1172,,,0.471,
0.1191,,,,
0.1211,,,,
0.1230,,,,
0.1250,,,,0.125
0.1270,,,0.129,
0.1289,,,,
0.1309,,,0.133,
0.1328,,,,0.133
0.1348,,,,
0.1367,,,,0.137
0.1387,,,,0.282
0.1406,,,0.141,
0.1426,,,,
0.1445,,,0.29,0.29
0.1465,,,0.149,
0.1484,,,0.149,0.149
0.1504,,,,
0.1523,,,,0.153
0.1543,,,0.157,
0.1563,,,0.314,0.314
0.1582,,,0.475,0.161
0.1592,,0.161,,
0.1602,0.161,,0.161,0.322
0.1611,,0.322,,
0.1621,,0.161,0.325,
0.1631,0.165,0.329,,
0.1641,0.494,0.165,0.329,0.165
0.1650,0.329,0.165,,
0.1660,0.498,0.169,0.996,
0.1670,0.506,0.169,,
0.1680,,,0.337,
0.1689,0.337,,,
0.1699,0.682,0.169,0.855,
0.1709,0.173,,,
0.1719,0.518,0.69,0.863,
0.1729,0.69,0.173,,
0.1738,1.039,0.173,1.396,0.176
0.1748,0.529,0.353,,
0.1758,0.176,0.529,1.059,0.706
0.1768,0.176,0.882,,
0.1777,0.529,0.533,1.067,
0.1787,0.18,,,
0.1797,0.361,0.541,0.722,0.18
0.1807,0.18,0.18,,
0.1816,0.545,0.365,0.361,0.184
0.1826,,0.553,,
0.1836,0.553,0.369,0.922,
0.1846,,0.369,,
0.1855,0.188,0.373,0.373,0.565
0.1865,,,,
0.1875,,0.188,0.941,0.376
0.1885,0.188,0.376,,
0.1895,0.38,0.188,0.38,0.192
0.1904,0.384,,,
0.1914,0.192,,0.576,0.769
0.1924,,0.384,,
0.1934,0.192,0.776,0.192,0.196
0.1943,0.588,0.784,,
0.1953,,0.392,0.392,
0.1963,0.588,0.392,,
0.1973,,0.392,,0.396
0.1982,0.4,0.2,,
0.1992,0.4,0.2,0.2,1
0.2002,0.2,,,
0.2012,0.2,0.204,0.204,0.6
0.2021,,,,
0.2031,,,0.408,
0.2041,,,,
0.2051,0.412,,0.204,0.412
0.2061,,0.208,,
0.2070,,0.208,,0.208
0.2080,0.416,0.416,,
0.2090,0.416,0.416,0.208,0.416
0.2100,,,,
0.2109,0.212,,0.424,
0.2119,0.424,0.424,,
0.2129,,,0.427,0.212
0.2139,,,,
0.2148,0.216,,,0.216
0.2158,,0.216,,
0.2168,,0.216,,0.435
0.2178,,,,
0.2188,0.22,,0.659,
0.2197,0.22,,,
0.2207,,0.224,0.443,0.224
0.2217,,0.224,,
0.2227,,,,0.224
0.2236,,0.224,,
0.2246,0.447,0.227,,0.455
0.2256,0.455,,,
0.2266,,,,0.227
0.2275,,,,
